,,,,,,,MEN DENIM SIZE CURVE,28,29,30,31,32,33,34,36,38,40,42,,
,,,,,,,WOMEN DENIM SIZE CURVE,24,25,26,27,28,29,30,31,32,33,34,,
,,,,,,,TOPS SIZE CURVE,XS,S,M,L,XL,2XL,3XL,4XL,,,,,
REF,Supplier Code,Gender,COLOUR,Description,Wholesale Price,Recommended Retail Price,Category,,,,,,,,,,,,Total Units,Total Value
TR72,109214 IYMR,MEN,MEDIUM WASH,True Religion Ricky Sn Flap Fray Hem Short Cruiseline Medium Wash W/ Rips,"R1,260.43","R2,899.00",Shorts,3,4,5,5,5,5,5,4,0,1,,37,"R46,636.09"
TR73,109268 1001,MEN,BLACK,True Religion Bigt Vintage Metallic Zip Up Jet Black,"R1,651.74","R3,799.00",Hoodies And Sweaters,,3,3,3,3,2,1,,,,,15,"R24,776.09"
TR74,109268 4610,MEN,BLUE,True Religion Bigt Vintage Metallic Zip Up Medieval Blue,"R1,651.74","R3,799.00",Hoodies And Sweaters,,3,3,3,3,2,1,,,,,15,"R24,776.09"
TR75,109271 1001,MEN,BLACK,True Religion Snap Off Track Jacket Jet Black,"R1,651.74","R3,799.00",Jackets,,4,4,4,4,3,1,,,,,20,"R33,034.78"
TR76,109273 1001,MEN,BLACK,True Religion Snap Off Baggy Track Pants Jet Black,"R1,260.43","R2,899.00",Pants,,4,4,4,4,3,1,,,,,20,"R25,208.70"
TR77,109275 1001,MEN,BLACK,True Religion Ss Pique Mineral Patch Henley Jet Black,R869.13,"R1,999.00",T-Shirts,,5,5,5,5,3,2,,,,,25,"R21,728.26"
TR78,109275 1238,MEN,GREY,True Religion Ss Pique Mineral Patch Henley Quiet Grey,R869.13,"R1,999.00",T-Shirts,,5,5,5,5,3,2,,,,,25,"R21,728.26"
TR79,109275 2701,MEN,TRAVERTINE,True Religion Ss Pique Mineral Patch Henley Travertine,R869.13,"R1,999.00",T-Shirts,,5,5,5,5,3,2,,,,,25,"R21,728.26"
TR80,109275 4002,MEN,NAVY,True Religion Ss Pique Mineral Patch Henley Midnight,R869.13,"R1,999.00",T-Shirts,,5,5,5,5,3,2,,,,,25,"R21,728.26"
TR81,109293 1001,MEN,BLACK,True Religion Ss Skeleton Hs Embro Tee Jet Black,R608.26,"R1,399.00",T-Shirts,1,5,5,5,5,4,2,,,,,27,"R16,423.04"
